"company_code","notice_number","notice_category","notice_publication_start_date","notice_publication_end_date","notice_title","notice_contents","notice_new_period","notice_attachment1","notice_attachment2","notice_attachment3","registration_user","registration_datetime","update_user","update_datetime"
"000001","2022021701","003","2022-02-17","2023-04-17",【不具合 報告】出勤時間が１４：００以降の場合,"日頃より社内管理システムをご利用いただきありがとうございます。
以下の場合、不具合があることが発覚しております。

　出勤時間に１４：００以降を入力
　　　　　　　↓
　退勤時間を入れても、合計勤務時間が正しく表示されない

もし、上記事象が発生しましたら、こちらにご連絡ください。
lw.system.syanaikanri@leadingwin.co.jp


ご不便をおかけしますが、対応までしばらくお待ちください。

よろしくお願いいたします。

2022.2.17　社内管理開発チーム一同
",7,,,,"186","2022-01-28 11:44:00","186","2022-01-28 11:44:00"
"000001","2022030101","003","2022-03-01","2022-04-01",【不具合 解消】出勤時間の不備,"日頃より社内管理システムをご利用いただきありがとうございます。
勤務時間を入力した際に、９：０１以降の場合、
正しく合計時間が表示されていないものを対応しました。
なお、データは問題なく登録されています。

合計時間の表示がおかしいままの場合は、
F5キーを押し、ブラウザの表示を最新化するなどを
お試しください。

よろしくお願いいたします。

2022.3.01　社内管理開発チーム一同
",7,,,,"186","2022-01-28 11:44:00","186","2022-01-28 11:44:00"
"000001","2022053001","001","2022-05-30","2022-06-30",アップデート情報（v1.4.0）,"日頃より社内管理システムをご利用いただきありがとうございます。
5月31日（火）にV1.4.0へのアップデートのため、
メンテナンスを実施します。

つきましては、以下の時間帯はご利用いただけません。

★★　5月31（火）１3：００～１5：００　★★

　【アップデート内容（予定）】
　・月末精算申請

よろしくお願いいたします。

2022.5.30　社内管理開発チーム一同
",7,,,,"214","2022-05-30 16:00:00","214","2022-05-30 16:00:00"
"000001","2022053101","001","2022-05-31","2023-05-31",アップデート完了　V1.3.1→V1.4.0,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.4.0へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　・月末精算申請

よろしくお願いいたします。

2022.5.31　社内管理開発チーム一同",7,,,,"214","2022-05-31 14:00:00","214","2022-07-28 09:14:44"
"000001","2022060301","001","2022-06-03","2023-06-03",アップデート完了　V1.4.0→V1.4.1,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.4.1へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　・勤務表の一部項目を非表示にし、備考欄を入力項目に変更
　・勤務表一括エクスポート機能


よろしくお願いいたします。

2022.6.3　社内管理開発チーム一同",7,,,,"214","2022-06-03 11:00:00","214","2022-07-28 09:14:03"
"000001","2022061701","001","2022-06-17","2023-06-17",アップデート完了　V1.4.1→V1.4.2,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.4.2へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　  [ 追加機能 ]
　・月末精算申請の帳票(PDF)出力機能の追加
　・月末精算申請の金額にカンマを表示
　・月末精算申請の申請概要（申請一覧・承認一覧など）に申請年月を表示
　・月末精算申請の初期画面で申請年月を自動表示
　　（月末精算申請の過去申請（承認完了）有：過去申請の翌月を表示
　　　月末精算申請の過去申請無：ログイン日の年月を表示　　　　　）

　・勤務表の区分で「出勤、遅刻、欠勤、休職、年末年始」のみ選択可能に変更
　　※各種申請は選択不可となっており、各申請後に自動的に区分に申請名が入る仕組みとなっています。
　　　また、各申請が承認完了された後は、区分の選択項目は非活性となります。

　  [ バグ対応 ]
　・全申請の差戻処理のバグ対応

　・勤務表の保存・申請・承認・差戻ボタン表示のバグ対応
　・勤務申請の取戻処理のバグ対応


よろしくお願いいたします。

2022.6.17　社内管理開発チーム一同",7,,,,"214","2022-06-17 11:00:00","214","2022-07-28 09:13:08"
"000001","2022062401","003","2022-06-24","2023-06-24",【不具合 解消】添付画像が無い場合の対応,"日頃より社内管理システムをご利用いただきありがとうございます。
月末精算申請で添付画像が無い場合でも保存・申請が出来るように対応しました。

【仕様の詳細】
・月末精算申請の保存
　定期券、旅費ともに添付画像無しの状態で保存可能となりました。
・月末精算申請の申請
　定期券は添付画像は必須となりますが、
　旅費は添付画像が無くても申請可能となりました。

よろしくお願いいたします。

2022.6.24　社内管理開発チーム一同",7,,,,"214","2022-06-24 11:30:00","214","2022-07-28 10:39:45"
"000001","2022070801","001","2022-07-08","2023-07-08",アップデート完了　V1.4.2→V1.5.0,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.5.0へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　  [ 追加機能 ]
　・一括エクスポート画面（権限者のみ使用可）
　　勤怠申請と月末精算申請の申請状態を一覧で確認可能。
　　年月、所属、勤怠申請状態、月末精算申請状態、社員名またはIDで条件を絞り、該当内容のみ確認可能。
　　勤務表または月末精算申請をプレビューで確認可能。
　　単体または複数で勤務表または月末精算申請のエクセルまたはPDFデータを出力可能。


よろしくお願いいたします。

2022.7.8　社内管理開発チーム一同",7,,,,"214","2022-07-08 18:30:00","214","2022-07-28 09:09:10"
"000001","2022071101","001","2022-07-11","2023-07-11",アップデート完了　V1.5.0→V1.5.1,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.5.1へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　  [ 仕様変更 ]
　・勤務表の出勤区分では申請種類の選択が不可となりました。
　　各種申請は、必ず各申請画面より申請を行ってください。
　　また、各申請画面より申請を行った後、勤務表の該当日に該当申請が自動で表示されます。

　　※ただし、権限者のみ勤務表の出勤区分で各種申請を選択可能。（選択日に既に申請が存在している場合は選択不可）

よろしくお願いいたします。

2022.7.11　社内管理開発チーム一同",7,,,,"214","2022-07-11 16:00:00","214","2022-07-28 09:08:44"
"000001","2022072001","001","2022-07-20","2023-07-20",アップデート完了　V1.5.1→V1.5.2,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.5.2へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　  [ 追加機能 ]
　・代休残入力機能
　　トップ画面→メンテナンス画面→代休残入力で代休残入力画面が確認出来ます。
　　代休残入力画面では、やむを得ず休日出勤申請を提出することなく休日出勤した場合に、
　　権限者によって該当日に休日出勤の記録を付けることが出来る機能です。
　　※権限のある社員のみ使用可能となっています。

よろしくお願いいたします。

2022.7.20　社内管理開発チーム一同",7,,,,"214","2022-07-20 16:00:00","214","2022-07-28 09:07:49"
"000001","2022072201","001","2022-07-22","2023-07-22",アップデート完了　V1.5.2→V1.5.3,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.5.3へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　　・月末精算申請
　　　[ その他経費タブの追加 ]
　　　月末精算申請では、定期券、旅費、その他経費が申請出来るようになりました。

　　　[ PDFデータのファイル名の変更 ]
　　　PDFデータのファイル名を短縮しました。

　　・夏季休暇申請
　　　[ 休暇予定選択に日毎選択オプションの追加 ]
　　　夏季休暇申請では、休暇予定日を期間選択または日毎選択が出来る様に対応しました。
　　　※ただし、日毎選択で申請を行う場合は、現場都合かつ上長の承認を得たうえで申請可能となります。
　　　　原則、期間選択で休暇期間を選択するようお願い致します。


　【バグ対応内容】
　　・休日出勤申請機能
　　　同日に承認済みの全日の休日出勤のデータが有れば、全日、午前、午後の全ての申請が不可。
　　　同日に承認済みの午前（or午後）の休日出勤のデータが有れば、午後（or午前）のみ申請が可。

　　・代休申請機能
　　　休暇予定日の時間区分が休日出勤日の時間区分と一致する場合のみ保存、申請が可。


よろしくお願いいたします。

2022.7.22　社内管理開発チーム一同",7,,,,"214","2022-07-22 18:30:00","214","2022-07-28 09:07:14"
"000001","2022072701","001","2022-07-27","2023-07-27",アップデート完了　V1.5.3→V1.6.0,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.6.0へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　  [ 追加機能 ]
　　・お知らせ管理一覧画面
　　　トップ画面→メンテナンス画面→お知らせ管理よりお知らせ管理一覧画面を確認出来ます。
　　　アップデート情報、メンテナンス情報、不具合、修正、連絡事項に関してお知らせの登録、修正ができます。
　　　※権限者のみ使用可能となっております。

　【バグ対応内容】
　　・月末精算申請
　　　[ アップロード画像のサイズ制限 ]
　　　アップロード出来る画像は各3Mまでとなります。
　　　※携帯の場合は、画像データの保存形式（.HEICか.JPGか）によってサイズが異なりますので、各自端末の設定環境をご確認ください。

よろしくお願いいたします。

2022.7.27　社内管理開発チーム一同",7,,,,"214","2022-07-27 18:30:00","214","2022-07-28 09:06:20"
"000001","2022072901","001","2022/07/29","2023/07/29",アップデート完了　V1.6.0→V1.7.0,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.7.0へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　  [ 追加機能 ]
　　・経歴書作成画面
　　　トップ画面→経歴書作成より経歴書作成画面を確認出来ます。



　【改修内容】
　　・お知らせ管理一覧画面
　　　お知らせの追加、編集を確定した際に、画面内の表示内容が追加または編集した内容で更新されます。

　　・月末精算申請画面
　　　参照ボタンで過去の申請を参照した際、画像は月毎に変更対象となるため、画像が表示されないように改修しています。
　　・勤務表出力（PDF、EXCEL）機能
　　　一部時間項目が15分単位切り捨てで表示されるよう改修しています。（例：労働時間合計、基準時間外など）

よろしくお願いいたします。

2022.7.29　社内管理開発チーム一同
",7,,,,"214","2022-07-29 19:00:00","214","2022-07-29 19:00:00"
"000001","2022080901","001","2022/08/09","2023/08/09",アップデート完了　V1.7.0→V1.8.0,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.8.0へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　  [ 追加機能 ]
　　・手当申請画面
　　　出張手当、リーダー手当、資格手当、慶弔見舞金の申請画面です。
　　　トップ画面→申請一覧→手当申請より各申請画面を確認できます。

　　・権限管理画面
　　　社員を指定して、権限を変更できる画面です。
　　　トップ画面→メンテナンス画面→権限管理で権限管理画面が確認できます。

　　・履歴経歴書一覧（管理者用）
　　　権限者が一般社員の経歴書を検索後、PDFデータの出力ができ、また、経歴書の新規作成、編集、削除が出来ます。


　【改修内容】
　　・承認一覧画面
　　　申請日、社員名または社員番号での検索もできるように対応しました。


よろしくお願いいたします。

2022.8.9　社内管理開発チーム一同
",7,,,,"214","2022-08-09 17:00:00","214","2022-08-09 17:00:00"
"000001","2022081801","001","2022/08/18","2023/08/18",アップデート完了　V1.8.0→V1.8.1,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.8.1へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【バグ対応】
　　・各申請処理
　　　申請時に承認者用のレコードが登録されないケースがあった為、登録されるように対応。

　【改修内容】
　　・月末精算申請画面、月末締一括出力画面
　　　月末精算申請のPDFファイル名に、定、旅、他を含めるように変更。
　　　月末精算申請のPDFファイル内のタイトルを「〇〇月分　月末精算申請」に変更。


よろしくお願いいたします。

2022.8.18　社内管理開発チーム一同

",7,,,,"214","2022-08-18 17:00:00","214","2022-08-18 17:00:00"
"000001","2022091401","001","2022/09/14","2023/09/14",アップデート完了　V1.8.1→V1.8.2,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.8.2へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【改修内容】
　　・勤務表画面
　　　出勤区分が休日出勤日、振替出勤日の出退勤時間の項目に出退勤時間が入力されていない状態で申請した場合、
　　　出退勤時間を入力するようにエラーメッセージが出るようになりました。
　　　また、代休を申請、承認した場合、勤務表画面または一括エクスポート画面でpdfファイルを出力した際に、該当代休日の備考欄に
　　　休日出勤日を明記するように対応しました。

　　・履歴経歴書一覧画面
　　　「日本向け開発経験（年数）」の入力を小数点第一まで入力可能に対応しました。

　　・慶弔見舞金申請画面
　　　画像の添付必須を外すよう変更しました。画像無しでも申請可能となりました。

　　【追加機能】
　　・承認一覧画面
　　　承認状態の検索に「承認未完了」を追加しました。
　　　承認一覧画面の初期表示では、承認状態が「承認未完了（回覧中、差戻、承認済）」が表示されます。
　　　また、申請日の降順で表示されます。

　　・月末締一括出力画面
　　　勤怠表申請、月末精算申請の申請のルートを確認出来るようになりました。
　　　※勤怠表申請状態、月末精算申請状態の状態（未申請、回覧中、差戻、完了など）をクリックすると、ルートが表示されます。

　　・出張手当申請画面
　　　PDF出力機能を追加しました。


よろしくお願いいたします。

2022.9.14　社内管理開発チーム一同

",7,,,,"214","2022-09-14 14:00:00","214","2022-09-14 14:00:00"
"000001","2025070201","001","2025-07-01","2025-07-01",新バージョン更新,新バージョン更新,1,"","","","116","2025-07-02 11:45:17","116","2025-07-02 11:47:21"
