"company_code","apply_ym","request_number","request_sub_number","request_user_id","start_date","end_date","month_kbn","days","apply_kbn","travel_kbn","departure","arrival","way_kbn","destination","amount","recipient_kbn","remark","image","registration_user","registration_datetime","update_user","update_datetime"
"000001","202205","20220531161556834000001121",1,"121","20220503","20220602","1",,"010","010",長住１丁目,福岡タワー,"","",18000,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/121/20220531161556834000001121-1.jpeg,"121","2022-05-31 13:24:11","121","2022-05-31 13:24:11"
"000001","202205","20220531162302915000001214",1,"214","20220502","20220601","1",,"010","010",城西橋,福岡タワー,"","",8550,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/214/20220531162302915000001214-1.jpeg,"214","2022-05-31 13:24:11","214","2022-05-31 13:24:11"
"000001","202205","20220531165323514000001175",1,"175","20220506","20220605","1",,"010","010",祖原,福岡タワー,"","",8550,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/175/20220531165323514000001175-1.jpeg,"175","2022-05-31 13:24:11","175","2022-05-31 13:24:11"
"000001","202205","20220601111703161000001186",1,"186","20220426","20220525","1",,"010","010",一番田,福岡空港,"","",16650,"010","定期画像取得前に買い替えたため、画像がありません。
張さんには領収があればOKと確認済みです。",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/186/20220601111703161000001186-1.jpeg,"186","2022-05-31 13:24:11","186","2022-05-31 13:24:11"
"000001","202205","20220601111703161000001186",2,"186","20220426","20220525","1",,"010","012",福岡空港,西新,"","",11850,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/186/20220601111703161000001186-2.jpeg,"186","2022-05-31 13:24:11","186","2022-05-31 13:24:11"
"000001","202205","20220601111703161000001186",3,"186","20220426","20220525","1",,"010","010",西新,福岡タワー,"","",8550,"010","定期画像取得前に買い替えたため、画像がありません。
張さんには領収があればOKと確認済みです。",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/186/20220601111703161000001186-3.jpeg,"186","2022-05-31 13:24:11","186","2022-05-31 13:24:11"
"000001","202205","20220601111707657000001202",1,"202","20220507","20220606","1",,"010","010",照葉小中学校,福岡タワー,"","",23850,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/202/20220601111707657000001202-1.jpeg,"202","2022-05-31 13:24:11","202","2022-05-31 13:24:11"
"000001","202205","20220601111806156000001219",1,"219","20220501","20220531","1",,"010","010",唐人町,福岡タワー,"","",8550,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/219/20220601111806156000001219-1.jpeg,"219","2022-05-31 13:24:11","219","2022-05-31 13:24:11"
"000001","202205","20220601133501789000001227",1,"227","20220505","20220605","1",,"010","011",久留米,博多,"","",21740,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/227/20220601133501789000001227-1.jpeg,"227","2022-05-31 13:24:11","227","2022-05-31 13:24:11"
"000001","202205","20220601133501789000001227",2,"227","20220505","20220605","1",,"010","010",博多,福岡タワー,"","",10800,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/227/20220601133501789000001227-2.jpeg,"227","2022-05-31 13:24:11","227","2022-05-31 13:24:11"
"000001","202205","20220601133502977000001222",1,"222","20220502","20220601","1",,"010","010",博多駅,福岡タワー（南口）,"","",10800,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/222/20220601133502977000001222-1.jpeg,"222","2022-05-31 13:24:11","222","2022-05-31 13:24:11"
"000001","202205","20220601133502977000001222",2,"222","20220502","20220601","1",,"010","011",箱崎駅,博多駅,"","",6300,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/222/20220601133502977000001222-2.jpeg,"222","2022-05-31 13:24:11","222","2022-05-31 13:24:11"
"000001","202206","20220627125017410000001122",1,"122","20220603","20220702","1",,"010","010",博多,医師会館,"","",10800,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/122/20220627125017410000001122-1.jpeg,"122","2022-06-30 16:51:30","122","2022-06-30 16:51:30"
"000001","202206","20220627125017410000001122",2,"122","20220602","20220701","1",,"010","011",奈多,博多,"","",8440,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/122/20220627125017410000001122-2.jpeg,"122","2022-06-30 16:51:31","122","2022-06-30 16:51:31"
"000001","202206","20220627161254219000001205",1,"205","20220606","20220705","1",,"010","010",博多駅,福岡タワー,"","",10800,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/205/20220627161254219000001205-1.jpeg,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
"000001","202206","20220627161254219000001205",2,"205","20220606","20220705","1",,"010","010",諏訪野町５丁目,久留米,"","",9450,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/205/20220627161254219000001205-2.jpeg,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
"000001","202206","20220627161254219000001205",3,"205","20220606","20220705","1",,"010","011",久留米,博多,"","",21740,"010","",/home/leadingwin_oa/static/usr/lw/upload/transportationexpenses/205/20220627161254219000001205-3.jpeg,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
"000001","202206","20220627161254219000001205",4,"205","20220609","20220609","",1,"020","010",福岡タワー,博多駅南,"020","",240,"010","",,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
"000001","202206","20220627161254219000001205",5,"205","20220615","20220615","",1,"020","010",福岡タワー,天神大丸前,"020","",240,"010",ハローワーク,,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
"000001","202206","20220627161254219000001205",6,"205","20220615","20220615","",1,"020","010",天神,久留米,"020","",630,"010","",,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
"000001","202206","20220627161254219000001205",7,"205","20220616","20220616","",1,"020","010",諏訪野町5丁目,久留米工業大学前,"020","",270,"010",久留米工業大学,,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
"000001","202206","20220627161254219000001205",8,"205","20220616","20220616","",1,"020","010",久留米工業大学前,久留米大学,"020","",530,"010",久留米大学,,"205","2022-06-30 17:27:18","205","2022-06-30 17:27:18"
